formulaRank	molecularFormula	adduct	precursorFormula	NPC#pathway	NPC#pathway Probability	NPC#superclass	NPC#superclass Probability	NPC#class	NPC#class Probability	ClassyFire#superclass	ClassyFire#superclass probability	ClassyFire#class	ClassyFire#class Probability	ClassyFire#subclass	ClassyFire#subclass Probability	ClassyFire#level 5	ClassyFire#level 5 Probability	ClassyFire#most specific class	ClassyFire#most specific class Probability	ClassyFire#all classifications	ionMass	retentionTimeInSeconds	retentionTimeInMinutes	formulaId	alignedFeatureId	mappingFeatureId	overallFeatureQuality
2	C37H56N6O8	[M + H]+	C37H57N6O8+	Amino acids and Peptides	0.958	Oligopeptides	0.993	Cyclic peptides	0.608	Organic acids and derivatives	0.999	Carboxylic acids and derivatives	0.994	Amino acids, peptides, and analogues	0.965	Peptides	0.692	Peptides	0.692	Organic compounds; Organoheterocyclic compounds; Lipids and lipid-like molecules; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Macrolactams; Alcohols and polyols; Phenylpropanoids and polyketides; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Fatty amides; Amino acids and derivatives; Peptides; Guanidines; Carboxylic acid amides; Carboxylic acid derivatives; N-acyl amines; Monocarboxylic acids and derivatives; N-acyl-alpha amino acids and derivatives; Secondary carboxylic acid amides; Tertiary carboxylic acid amides; Carbonyl compounds; Fatty Acyls; Organic oxides; Azacyclic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	713.429	243	4.049	703057119428880419	703045684799533324	1383	
2	C36H60N4O6	[M + K]+	C36H60KN4O6+	Amino acids and Peptides	0.876	Oligopeptides	0.995	Depsipeptides	0.303	Organic acids and derivatives	0.999	Carboxylic acids and derivatives	0.996	Amino acids, peptides, and analogues	0.962	Amino acids and derivatives	0.951	Valine and derivatives	0.595	Organic compounds; Organoheterocyclic compounds; Lipids and lipid-like molecules; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Macrolactams; Alcohols and polyols; Pyrrolidines; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Fatty amides; Amino acids and derivatives; Carboxylic acid amides; Carboxylic acid derivatives; N-acyl amines; Monocarboxylic acids and derivatives; Carboxylic acid esters; Secondary alcohols; Secondary carboxylic acid amides; Tertiary carboxylic acid amides; Peptidomimetics; Carbonyl compounds; Fatty Acyls; Organic oxides; Azacyclic compounds; Hydrocarbon derivatives; Valine and derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	683.415	245	4.088	703057130136939424	703045684925362459	1387	
1	C15H16O4	[M + H]+	C15H17O4+	Shikimates and Phenylpropanoids	0.536	Styrylpyrones	0.625	Kavalactones and derivatives	0.624	Benzenoids	0.795	Benzene and substituted derivatives	0.561					Benzene and substituted derivatives	0.561	Organic compounds; Organic acids and derivatives; Carboxylic acids and derivatives; Organooxygen compounds; Carbonyl compounds; Benzene and substituted derivatives; Benzenoids; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities	261.110	246	4.094	703057118967506860	703045685093134639	1391	
1	C12H20O3	[M + H]+	C12H21O3+	Fatty acids	0.953	Octadecanoids	0.723	Jasmonic acids	0.785	Lipids and lipid-like molecules	0.562							Lipids and lipid-like molecules	0.562	Organic compounds; Lipids and lipid-like molecules; Ketones; Alcohols and polyols; Organic acids and derivatives; Carboxylic acids and derivatives; Organooxygen compounds; Monocarboxylic acids and derivatives; Carboxylic acids; Carbonyl compounds; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities	213.148	250	4.165	703057139062418754	703045685185409337	1393	
1	C18H30O3	[M + H]+	C18H31O3+	Fatty acids	0.995	Octadecanoids	0.953	Other Octadecanoids	0.972	Lipids and lipid-like molecules	0.985	Fatty Acyls	0.974	Lineolic acids and derivatives	0.888			Lineolic acids and derivatives	0.888	Organic compounds; Lipids and lipid-like molecules; Ketones; Fatty acids and conjugates; Organic acids and derivatives; Carboxylic acids and derivatives; Acryloyl compounds; Organooxygen compounds; Unsaturated fatty acids; Lineolic acids and derivatives; Monocarboxylic acids and derivatives; Carboxylic acids; Enones; Carbonyl compounds; Long-chain fatty acids; Alpha,beta-unsaturated carbonyl compounds; Alpha,beta-unsaturated ketones; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities	295.226	250	4.165	703057142782766651	703045685227352382	1394	
1	C20H32O5	[M + H]+	C20H33O5+	Fatty acids	0.996	Eicosanoids	0.984	Prostaglandins	0.801	Lipids and lipid-like molecules	0.970	Fatty Acyls	0.946	Eicosanoids	0.926	Prostaglandins and related compounds	0.821	Prostaglandins and related compounds	0.821	Organic compounds; Lipids and lipid-like molecules; Ketones; Alcohols and polyols; Fatty acids and conjugates; Organic acids and derivatives; Carboxylic acids and derivatives; Organooxygen compounds; Unsaturated fatty acids; Hydroxy fatty acids; Eicosanoids; Prostaglandins and related compounds; Monocarboxylic acids and derivatives; Carboxylic acids; Cyclic alcohols and derivatives; Secondary alcohols; Carbonyl compounds; Cyclopentanols; Long-chain fatty acids; Cyclic ketones; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities	353.229	250	4.165	703057142015208946	703045685307044168	1397	
1	C18H36N6O6	[M + H]+	C18H37N6O6+	Amino acids and Peptides	0.785	Oligopeptides	0.657	Linear peptides	0.459	Organic acids and derivatives	0.961	Carboxylic acids and derivatives	0.903	Amino acids, peptides, and analogues	0.857	Amino acids and derivatives	0.840	N-acyl-alpha amino acids and derivatives	0.662	Organic compounds; Lipids and lipid-like molecules; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Alcohols and polyols; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Primary alcohols; Organooxygen compounds; Fatty amides; Amino acids and derivatives; Hydroxamic acids; Monoalkylamines; Carboxylic acid amides; Carboxylic acid derivatives; N-acyl amines; N-acyl-alpha amino acids and derivatives; Secondary carboxylic acid amides; Carbonyl compounds; Alpha amino acid amides; Amines; Primary amines; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	433.277	251	4.182	703057159245410421	703045685353181517	1398	
2	C47H72N4O9	[M + Na]+	C47H72N4NaO9+	Polyketides	0.878	Oligopeptides	0.998	Depsipeptides	0.932	Organic acids and derivatives	1.000	Peptidomimetics	0.899	Depsipeptides	0.869	Cyclic depsipeptides	0.799	Cyclic depsipeptides	0.799	Organic compounds; Organoheterocyclic compounds; Amino acids, peptides, and analogues; Lactones; Alpha amino acids and derivatives; Macrolactams; Macrolides and analogues; Lactams; Pyrrolidines; Phenylpropanoids and polyketides; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Amino acids and derivatives; Alpha amino acid esters; Carboxylic acid amides; Carboxylic acid derivatives; Carboxylic acid esters; Tertiary carboxylic acid amides; Peptidomimetics; Carbonyl compounds; Macrolide lactams; Depsipeptides; Cyclic depsipeptides; Benzene and substituted derivatives; Benzenoids; Organic oxides; Azacyclic compounds; Oxacyclic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	859.523	252	4.205	703057165109047928	703045685395124562	1399	
2	C24H50O10	[M + Na]+	C24H50NaO10+	Fatty acids	0.879	Fatty acyls	0.656	Fatty alcohols	0.536	Organic oxygen compounds	1.000	Organooxygen compounds	1.000	Ethers	0.998	Dialkyl ethers	0.998	Polyethylene glycols	0.989	Organic compounds; Alcohols and polyols; Ethers; Primary alcohols; Organooxygen compounds; Dialkyl ethers; Polyethylene glycols; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities	521.329	254	4.230	703057203256244381	703045685483204956	1401	
1	C24H48N6O9	[M + H]+	C24H49N6O9+	Amino acids and Peptides	0.797	Oligopeptides	0.874	Linear peptides	0.671	Organic acids and derivatives	0.999	Carboxylic acids and derivatives	0.993	Amino acids, peptides, and analogues	0.826	Amino acids and derivatives	0.799	N-acyl-alpha amino acids and derivatives	0.631	Organic compounds; Lipids and lipid-like molecules; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Alcohols and polyols; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Fatty amides; Amino acids and derivatives; Hydroxamic acids; Monoalkylamines; Carboxylic acid amides; Carboxylic acid derivatives; N-acyl amines; Monocarboxylic acids and derivatives; N-acyl-alpha amino acids and derivatives; Carboxylic acids; Primary carboxylic acid amides; Secondary carboxylic acid amides; Carbonyl compounds; Amines; Primary amines; Acetohydroxamic acids; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	565.356	255	4.253	703057169232049133	703045685520953697	1402	
1	C31H52N4O8	[M + H]+	C31H53N4O8+	Amino acids and Peptides	0.842	Oligopeptides	0.957	Cyclic peptides	0.298	Organic acids and derivatives	0.990	Carboxylic acids and derivatives	0.965	Amino acids, peptides, and analogues	0.895	Amino acids and derivatives	0.884	Alpha amino acids and derivatives	0.720	Organic compounds; Organoheterocyclic compounds; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Alcohols and polyols; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Primary alcohols; Organooxygen compounds; Amino acids and derivatives; Carboxylic acid amides; Carboxylic acid derivatives; Secondary carboxylic acid amides; Tertiary carboxylic acid amides; Carbonyl compounds; Benzene and substituted derivatives; Benzenoids; Amines; Organic oxides; Azacyclic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	609.382	257	4.276	703057179839444664	703045685554508134	1403	
1	C12H27NO	[M + H]+	C12H28NO+	Fatty acids	0.989	Spingolipids	0.500	Sphingoid bases	0.922	Organic nitrogen compounds	0.999	Organonitrogen compounds	0.999	Amines	0.949	Alkanolamines	0.850	1,2-aminoalcohols	0.811	Organic compounds; Alcohols and polyols; Organonitrogen compounds; Primary alcohols; Organooxygen compounds; 1,2-aminoalcohols; Dialkylamines; Amines; Secondary amines; Alkanolamines; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	202.217	257	4.291	703057165713027794	703045685726474618	1407	
2	C32H57N9O5	[M + H]+	C32H58N9O5+	Amino acids and Peptides	0.996	Oligopeptides	0.991	Linear peptides	0.657	Organic acids and derivatives	0.998	Carboxylic acids and derivatives	0.994	Amino acids, peptides, and analogues	0.994	Peptides	0.748	Peptides	0.748	Organic compounds; Organoheterocyclic compounds; Lipids and lipid-like molecules; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Phenethylamines; Amphetamines and derivatives; Pyrrolidines; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Fatty amides; Amino acids and derivatives; Peptides; Guanidines; Carboxylic acid amides; Carboxylic acid derivatives; N-acyl amines; N-acyl-alpha amino acids and derivatives; Secondary carboxylic acid amides; Tertiary carboxylic acid amides; Carbonyl compounds; Benzene and substituted derivatives; Alpha amino acid amides; Benzenoids; Amines; N-acylpyrrolidines; Carboximidamides; Fatty Acyls; Organic oxides; Azacyclic compounds; Hydrocarbon derivatives; Valine and derivatives; Phenylalanine and derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	648.453	258	4.299	703057201368807515	703045685604839787	1404	
4	C39H56O8	[M + H]+	C39H57O8+	Terpenoids	0.762	Carotenoids (C40)	0.333	Carotenoids (C40, Ψ-Ψ)	0.113	Lipids and lipid-like molecules	0.769	Prenol lipids	0.674					Prenol lipids	0.674	Organic compounds; Lipids and lipid-like molecules; Alcohols and polyols; Ethers; Prenol lipids; Organooxygen compounds; Dialkyl ethers; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities	653.408	258	4.299	703057173766092116	703045685684531573	1406	
6	C26H48N4O6	[M + K]+	C26H48KN4O6+	Amino acids and Peptides	0.774	Oligopeptides	0.428	N-acyl amines	0.254	Organic acids and derivatives	0.923	Carboxylic acids and derivatives	0.828	Amino acids, peptides, and analogues	0.548	Amino acids and derivatives	0.529	Amino acids and derivatives	0.529	Organic compounds; Lipids and lipid-like molecules; Amino acids, peptides, and analogues; Alcohols and polyols; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Primary alcohols; Organooxygen compounds; Fatty amides; Amino acids and derivatives; Carboxylic acid amides; Carboxylic acid derivatives; N-acyl amines; Secondary carboxylic acid amides; Carbonyl compounds; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	551.323	258	4.306	703057188672649133	703045685801972100	1409	
1	C34H61N9O6	[M + H]+	C34H62N9O6+	Amino acids and Peptides	0.811	Oligopeptides	0.502	Tripeptides	0.311	Organic acids and derivatives	0.992	Carboxylic acids and derivatives	0.987	Amino acids, peptides, and analogues	0.943	Amino acids and derivatives	0.937	Alpha amino acid amides	0.676	Organic compounds; Lipids and lipid-like molecules; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Fatty amides; Amino acids and derivatives; Carboxylic acid amides; Carboxylic acid derivatives; N-acyl amines; Secondary carboxylic acid amides; Tertiary carboxylic acid amides; Carbonyl compounds; Alpha amino acid amides; Amines; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	692.478	259	4.323	703057207828035806	703045685764223359	1408	
1	C34H64O14	[M + H]+	C34H65O14+	Fatty acids	0.665	Glycerolipids	0.285	Fatty alcohols	0.160	Organic oxygen compounds	1.000	Organooxygen compounds	0.999	Ethers	0.973	Dialkyl ethers	0.973	Polyethylene glycols	0.917	Organic compounds; Alcohols and polyols; Ethers; Primary alcohols; Organooxygen compounds; Dialkyl ethers; Polyethylene glycols; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities	697.434	259	4.323	703057225351838760	703045685843915145	1410	
5	C22H46N8O8	[M + Na]+	C22H46N8NaO8+	Carbohydrates	0.893	Aminosugars and aminoglycosides	0.727	Aminoglycosides	0.742	Organic oxygen compounds	1.000	Organooxygen compounds	0.992	Carbohydrates and carbohydrate conjugates	0.253	Aminosaccharides	0.463	Aminoglycosides	0.579	Organic compounds; Organoheterocyclic compounds; Alcohols and polyols; Ethers; Organonitrogen compounds; Aminoglycosides; Primary alcohols; Organooxygen compounds; Monoalkylamines; Acetals; Amines; Primary amines; Alkanolamines; Oxacyclic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	573.336	260	4.330	703057230380809478	703045685919412627	1412	
1	C17H35NO4	[M + H]+	C17H36NO4+	Fatty acids	0.981	Fatty amides	0.963	N-acyl amines	0.672	Organic acids and derivatives	0.994	Carboxylic acids and derivatives	0.982	Amino acids, peptides, and analogues	0.798	Amino acids and derivatives	0.796	Alpha amino acids and derivatives	0.829	Organic compounds; Lipids and lipid-like molecules; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Alcohols and polyols; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Fatty amides; Amino acids and derivatives; Carboxylic acid amides; Carboxylic acid derivatives; N-acyl amines; Monocarboxylic acids and derivatives; Carboxylic acids; Tertiary carboxylic acid amides; Carbonyl compounds; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	318.264	261	4.343	703057219433675446	703045685994910109	1414	
